country,name,nameUrl,thumbUrl,thumbSlug,flagUrl
Albania,Durrës County,/wiki/Durr%C3%ABs_County,//upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Flag_of_Durr%C3%ABs_County.png/70px-Flag_of_Durr%C3%ABs_County.png,70px-Flag_of_Durr%C3%ABs_County.png,/wiki/Durr%C3%ABs_County
Andorra,Andorra la Vella,/wiki/Andorra_la_Vella,//upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Flag_of_Andorra_la_Vella.svg/70px-Flag_of_Andorra_la_Vella.svg.png,70px-Flag_of_Andorra_la_Vella.svg.png,/wiki/Andorra_la_Vella
Andorra,Canillo,/wiki/Canillo,//upload.wikimedia.org/wikipedia/commons/thumb/8/87/Flag_of_Canillo.svg/70px-Flag_of_Canillo.svg.png,70px-Flag_of_Canillo.svg.png,/wiki/Canillo
Andorra,Encamp,/wiki/Encamp,//upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Flag_of_Encamp.svg/70px-Flag_of_Encamp.svg.png,70px-Flag_of_Encamp.svg.png,/wiki/Encamp
Andorra,Escaldes-Engordany,/wiki/Escaldes-Engordany,//upload.wikimedia.org/wikipedia/commons/thumb/4/41/Bandera_de_Escaldes-Engordany.svg/70px-Bandera_de_Escaldes-Engordany.svg.png,70px-Bandera_de_Escaldes-Engordany.svg.png,/wiki/Escaldes-Engordany
Andorra,La Massana,/wiki/La_Massana,//upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Flag_of_La_Massana.svg/70px-Flag_of_La_Massana.svg.png,70px-Flag_of_La_Massana.svg.png,/wiki/La_Massana
Andorra,Ordino,/wiki/Ordino,//upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Flag_of_Ordino.svg/70px-Flag_of_Ordino.svg.png,70px-Flag_of_Ordino.svg.png,/wiki/Ordino
Andorra,Sant Julià de Lòria,/wiki/Sant_Juli%C3%A0_de_L%C3%B2ria,//upload.wikimedia.org/wikipedia/commons/thumb/0/02/Bandera_de_San_Juli%C3%A1n_de_Loria.svg/70px-Bandera_de_San_Juli%C3%A1n_de_Loria.svg.png,70px-Bandera_de_San_Juli%C3%A1n_de_Loria.svg.png,/wiki/Sant_Juli%C3%A0_de_L%C3%B2ria
Angola,Cabinda Province,/wiki/Cabinda_Province,//upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Flag_of_Cabinda_Province.svg/70px-Flag_of_Cabinda_Province.svg.png,70px-Flag_of_Cabinda_Province.svg.png,/wiki/Cabinda_Province
Argentina,Buenos Aires Province,/wiki/Buenos_Aires_Province,//upload.wikimedia.org/wikipedia/commons/thumb/1/15/Bandera_de_la_Provincia_de_Buenos_Aires.svg/70px-Bandera_de_la_Provincia_de_Buenos_Aires.svg.png,70px-Bandera_de_la_Provincia_de_Buenos_Aires.svg.png,/wiki/Buenos_Aires_Province
