index,title,date,nyt_firstPublished,nyt_byline,nyt_headline,nyt_summary,nyt_url,isTheaterReview,nyt_openDate,nyt_startDate,nyt_stopDate,nyt_cast,nyt_creators,nyt_name,nyt_venue
5187,"""Carol Channing"" in Concert",2011-01-12,1995-04-11,By Vincent Canby,THEATER REVIEW: GENTLEMEN PREFER BLONDES; Lorelei Lee Re-embarks for Paris,,https://www.nytimes.com/1995/04/11/theater/theater-review-gentlemen-prefer-blondes-lorelei-lee-re-embarks-for-paris.html,true,,,,,,,
6598,"""Daddy""",2019-03-05,2004-11-02,By Neil Genzlinger,THEATER REVIEW; Daddy Dearest and Home (Call Me When He's Dead),"Neil Genzlinger reviews Abingdon Theater's world premiere production of Barton Bishop play God's Daughter, directed by Alex Dmitriev; Anne DuPont and Susanne Marley star; photo (M)",https://www.nytimes.com/2004/11/02/theater/arts/theater-review-daddy-dearest-and-home-call-me-when-hes-dead.html,true,,,,,,,
5688,"""Mildred Fierce""",2013-10-12,2013-10-14,By Charles Isherwood,"A Martyr in Drag, Slinging Hash for That Thankless Daughter","“Mildred Fierce,” a musical spoof of the 1945 movie “Mildred Pierce,” at Theater 80 St. Marks, features the drag star Varla Jean Merman.",https://www.nytimes.com/2013/10/15/theater/reviews/mildred-fierce-a-sendup-comes-to-theater-80.html,true,2013-10-12,2013-10-05,2013-10-27,"Starring Varla Jean Merman, Ryan Landry, Penny Champayne, Olive Another, Liza Lott and Delta Miles","Written by Ryan Landry, directed by James P. Byrne",Mildred Fierce,Theater 80
6798,#DateMe: An OkCupid Experiment,2019-07-08,2019-08-22,By Laura Collins-Hughes,‘#DateMe’ Review: Not Feeling a Love Connection,A frenzy of strained joke-making and audience participation overwhelms a promising exploration of romance in the internet age.,https://www.nytimes.com/2019/08/22/theater/dateme-review.html,true,2019-07-08,2019-06-20,2019-09-15,"Chris Alvarado, Kaitlyn Black, Jonathan Gregg, Eric Lockley, Megan Sikora, Liz Wisan, Jillian Gottlieb and Jonathan Wagner","Created by Robyn Lynne Norris; Written by Robyn Lynne Norris, Bob Ladewig and Frank Caeti; Lyrics by Robyn Lynne Norris, Frank Caeti, Amanda Blake Davis and Bob Ladewig; Music by Julie Nichols and Dan Wessels; Developed by Diane Alexander; Based on an Experiment by Robyn Lynne Norris and Bob Ladewig",#DATEME: An OKCupid Experiment,Westside Theater - Downstairs
4547,(The Blood) Electra,2007-05-31,1998-12-13,By Vincent Canby,THEATER; An 'Electra' Powerfully Current,"Vincent Canby reviews Euripides' Electra at Ethel Barrymore Theater, with Zoe Wanamaker and Claire Bloom, and Diana Son's play Stop Kiss, at Joseph Papp Public Theater, with Jessica Hecht and Sandra Oh; photos (M)",https://www.nytimes.com/1998/12/13/theater/theater-an-electra-powerfully-current.html,true,,,,,,,
6411,[PORTO],2018-02-06,2017-01-16,By Laura Collins-Hughes,Review: ‘[Porto]’ Features a Bar Regular Looking for Love,"This Kate Benson play is set in a Brooklyn spot that promises company and conversation, especially for a lonely woman who wants to attract a man.",https://www.nytimes.com/2017/01/16/theater/review-porto-features-a-bar-regular-looking-for-love.html,true,2018-02-06,2018-01-28,2018-03-04,"Noel Joseph Allain, Kate Benson, Ugo Chukwu, Jorge Cordova, Leah Karpel and Julia Sirna-Frest",Written by Kate Benson; Directed by Lee Sunday Evans,[PORTO],WP Theater
4219,[title of show],2006-02-26,2006-07-21,,[title of show]: Putting On a Show About Putting On a Show,"''[title of show],'' which opened at the Vineyard Theater in February, reopened last night at the Vineyard, 108 East 15th Street, Flatiron district, (212) 353-0303. Following are excerpts from Charles Isherwood's review, which appeared in The New York Times on Feb. 27; the full text is online at nytimes.com/theater.      Calling all show queens! Or, if you prefer to be more formally addressed, may I have your attention, please, devoted aficionados of musical theater? Have I got a show for you!  ",https://www.nytimes.com/2006/07/21/theater/reviews/title-of-show-putting-on-a-show-about-putting-on-a-show.html,true,,,,,,,
4375,¡El Conquistador!,2006-10-03,2006-10-07,By Anita Gates,Colombian Country Boy in Big City,"Thaddeus Phillips is proving that he could have been a great silent-film comedian in “¡El Conquistador!,” an ingenious one-act, one-man show about a hapless Colombian doorman.",https://www.nytimes.com/2006/10/07/theater/reviews/07conq.html,true,2006-10-03,2006-09-20,2006-10-22,Starring Thaddeus Phillips,,El Conquistador!,New York Theater Workshop
4511,10 Million Miles,2007-06-14,2007-06-15,By Ben Brantley,What Do a Guy and a Gal Do in a Truck? They Sing,"There are rays of beauty in this stiff musical, courtesy of the songs of Patty Griffin, the immensely talented, country-hybrid cult composer.",https://www.nytimes.com/2007/06/15/theater/reviews/15mill.html,true,2007-06-14,2007-05-11,2007-07-15,"Matthew Morrison as Duane, Irene Molloy as Molly, Skipp Suduth as The Men and Mare Winningham as The Women",,10 Million Miles,Atlantic Theater Company at the Linda Gross Theater
4868,10 Things To Do Before I Die,2009-05-28,2009-05-28,By Charles Isherwood,"Among Dad’s Personal Effects, Daughterly Impact","In Zakiyyah Alexander’s harmless but pedestrian drama, two estranged sisters cope with the emotional fallout from a to-do list left behind by their father.",https://www.nytimes.com/2009/05/29/theater/reviews/29thin.html,true,2009-05-28,2009-05-12,2009-06-14,,,10 Things to Do Before I Die,WP Theater
4551,100 Saints You Should Know,2007-09-18,2007-09-19,By Ben Brantley,"Seeking Spiritual Bonds and Earthly Ones, Too","Kate Fodor’s “100 Saints You Should Know” is a decent play, with all that the adjective implies. ",https://www.nytimes.com/2007/09/19/theater/reviews/19saints.html,true,2007-09-18,2007-08-24,2007-09-30,"Zoe Kazan as Abby Janel Moloney as Theresa, Jeremy Shamos as Matthew and Lois Smith as Colleen",,100 Saints You Should Know,Playwrights Horizons
6258,1001 Nights: A Love Story About Loving Stories,2016-09-17,2016-09-22,By Laurel Graeber,"Review: Sagas, Swashbuckling and Scheherazade in ‘1001 Nights’","Robert Lopez, a songwriter for “Frozen,” and Adam Koplan created this Atlantic for Kids adaptation, an exuberant musical with both actors and puppets.",https://www.nytimes.com/2016/09/23/theater/review-sagas-swashbuckling-and-scheherazade-in-1001-nights.html,true,2016-09-17,2016-09-17,2016-10-16,,Music and lyrics by Robert Lopez; Book by Adam Koplan and Robert Lopez; Directed by Adam Koplan,1001 Nights: A Love Story About Loving Stories,Atlantic Theater Company at the Linda Gross Theater
6724,17 Border Crossings,2019-04-15,2019-04-16,By Elisabeth Vincentelli,"Review: In ‘17 Border Crossings,’ Some Areas Are Left Unexplored",Thaddeus Phillips’s genial show retreats every time things get sticky or uncomfortable.,https://www.nytimes.com/2019/04/15/theater/17-border-crossings-review.html,true,,,,,,,
267,2 1/2 Jews,1998-12-12,1997-10-16,By Anita Gates,THEATER REVIEW; If 6 Million Jews Moved Back to Germany?,Anita Gates reviews Miranda Theater Company's production of Israel Horovitz's play Lebensraum (M),https://www.nytimes.com/1997/10/16/theater/theater-review-if-6-million-jews-moved-back-to-germany.html,true,,,,,,,
6126,2 Across: A New Comedy of Crosswords and Romance,2015-12-09,2015-12-10,By Laura Collins-Hughes,Review: Andrea McArdle and Kip Gilman Puzzle Out Love in ‘2 Across’,Two crossword enthusiasts meet in an almost empty subway car and wrestle with a contentious mutual attraction.,https://www.nytimes.com/2015/12/10/theater/review-andrea-mcardle-and-kip-gilman-puzzle-out-love-in-2-across.html,true,2015-12-10,2015-11-14,2016-03-20,Andrea McArdle and Kip Gilman,Written by Jerry Mayer; Directed by Evelyn Rudie,2 Across: A New Comedy of Crosswords and Romance,St. Luke's Theater
6429,20th Century Blues,2017-11-26,2017-11-27,By Alexis Soloski,"Review: Four Women, Four Lifetimes, One Camera in ‘20th Century Blues’",Susan Miller’s sweet but softhearted play finds old friends challenged when the photographer among them wants to display group images taken over 40 years.,https://www.nytimes.com/2017/11/26/theater/review-20th-century-blues-susan-miller.html,true,2017-11-26,2017-11-12,2018-01-28,"Beth Dixon, Franchelle Stewart Dorn, Polly Draper, Kathryn Grody, Ellen Parker and Charles Socarides",Written by Susan Miller; Directed by Emily Mann,20th Century Blues,Pershing Square Signature Center
4398,25 Questions for a Jewish Mother,2006-10-12,2006-10-17,By Phoebe Hoban,Enough Already: Why Not Listen to Your Mother?,"Judy Gold's 70-minute monologue, which is based on more than 50 interviews with Jewish mothers across the United States, is fiercely funny, honest and moving.",https://www.nytimes.com/2006/10/17/theater/reviews/17moth.html,true,2006-10-12,2006-09-27,2007-01-28,Starring Judy Gold,,25 Questions for a Jewish Mother,St. Luke's Theater
5991,39 Steps,2015-04-13,2015-04-14,By Ben Brantley,"Review: ‘39 Steps,’ Frenetic Thriller Spoof, Rises Again","Based with a wink on John Buchan’s 1915 novel and Alfred Hitchcock’s 1935 film, this comedy has a cast of four but too many characters to count.",https://www.nytimes.com/2015/04/14/theater/review-39-steps-frenetic-thriller-spoof-rises-again.html,true,2015-04-13,2015-04-01,2016-01-03,"Starring Billy Carter, Robert Petkoff, Cameron Pow and Brittany Vicars",Based on an original concept by Simon Corble and Nobby Dimon; Based on the book by John Buchnan; Adapted by Patrick Barlow; Directed by Maria Aitken,39 Steps,Union Square Theater
5007,4PLAY,2010-02-08,2010-02-16,By Ken Jaworowski,"Pizza, Butter and a Cupcake, With the Greatest of Ease","The Flying Karamazov Brothers’ current show is as close to a sure thing as can be found onstage, 100 minutes of cleverness and comedy that go by in a flash.",https://www.nytimes.com/2010/02/17/theater/reviews/17flying.html,true,2010-02-11,2010-02-08,2011-04-03,"Starring Paul Magid, Mark Ettinger, Rod Kimball and Stephen Bent",,The Flying Karamazov Brothers,Minetta Lane Theater
5076,4PLAY,2010-08-09,2010-02-16,By Ken Jaworowski,"Pizza, Butter and a Cupcake, With the Greatest of Ease","The Flying Karamazov Brothers’ current show is as close to a sure thing as can be found onstage, 100 minutes of cleverness and comedy that go by in a flash.",https://www.nytimes.com/2010/02/17/theater/reviews/17flying.html,true,2010-02-11,2010-02-08,2011-04-03,"Starring Paul Magid, Mark Ettinger, Rod Kimball and Stephen Bent",,The Flying Karamazov Brothers,Minetta Lane Theater
5506,5 Lesbians Eating a Quiche,2012-10-13,2012-10-21,By Ben Brantley,Choosing a Flaky Morsel for Armageddon Brunch,The frolicsome comedy “5 Lesbians Eating a Quiche” at SoHo Playhouse seems destined to attract a cult following.,https://www.nytimes.com/2012/10/22/theater/reviews/5-lesbians-eating-a-quiche-at-soho-playhouse.html,true,2012-10-13,2012-10-13,2013-02-10,"Starring Caitlin Chuckta, Rachel Farmer, Megan Johns, Thea Lux, and Maari Suorsa","Writen by Evan Linder and Andrew Hobgood with contributions by Mary Hollis Inboden, Megan Johns, Thea Lux, Beth Stelling and Maari Suorsa, directed by Sara Gitenstein",5 Lesbians Eating a Quiche,Soho Playhouse
5640,5 Lesbians Eating a Quiche,2013-06-26,2012-10-21,By Ben Brantley,Choosing a Flaky Morsel for Armageddon Brunch,The frolicsome comedy “5 Lesbians Eating a Quiche” at SoHo Playhouse seems destined to attract a cult following.,https://www.nytimes.com/2012/10/22/theater/reviews/5-lesbians-eating-a-quiche-at-soho-playhouse.html,true,2012-10-13,2012-10-13,2013-02-10,"Starring Caitlin Chuckta, Rachel Farmer, Megan Johns, Thea Lux, and Maari Suorsa","Writen by Evan Linder and Andrew Hobgood with contributions by Mary Hollis Inboden, Megan Johns, Thea Lux, Beth Stelling and Maari Suorsa, directed by Sara Gitenstein",5 Lesbians Eating a Quiche,Soho Playhouse
5734,50 Shades! The Musical Parody,2014-03-12,2014-03-14,By Andy Webster,"If a Book Annoys You, Ridicule It in Song","“50 Shades! The Musical — The Original Parody” at the Elektra Theater adds R-rated lyrics to E. L. James’s best-selling novel about bondage, but it keeps the nudity PG.",https://www.nytimes.com/2014/03/15/theater/50-shades-the-musical-parodies-that-erotic-best-seller.html,true,2014-03-12,2014-02-21,2015-09-06,"Starring David Andino, Daniel Bentley, Kaitlyn Frotton, Chris Grace, Tim Murray, Amber Petty, Casey Rogers, Alec Varcas, Ashley Ward and Chloe Williamson","Written by Al Samuels, Emily Dorezas, Amanda Blake Davis, Jody Shelton, Ashley Ward and Dan Wessels; Directed by Al Samuels and Rob Lindley",50 Shades! The Musical,Elektra Theater
5020,666,2010-04-15,2010-04-22,By Neil Genzlinger,Humor Needs No Words in a Demented World,"“666,” a play by the Spanish troupe Yllana, features a bawdy crew and a story that conveys a lot without dialogue.",https://www.nytimes.com/2010/04/23/theater/reviews/23666.html,true,2010-04-15,2010-03-30,2010-05-30,"Starring Fidel Fernandez, Joseph Michael O'Curneen, Juan Francisco Ramos Toro and Raul Cano",,666,Minetta Lane Theater
6888,72 Miles to Go...,2020-03-10,2020-03-11,By Laura Collins-Hughes,Review: A Crisis of Borders in ‘72 Miles to Go…’,"In Hilary Bettis’s play, a family separated by deportation wants to live regular American lives but discovers how mercilessly difficult that is.",https://www.nytimes.com/2020/03/10/theater/review-a-crisis-of-borders-in-72-miles-to-go.html,true,2020-03-10,2020-02-13,2020-05-03,"Tyler Alvarez, Jacqueline Guillén, Bobby Moreno, Maria Elena Ramirez and Triney Sandoval",Written by Hilary Bettis; Directed by Jo Bonney,72 Miles to Go...,Laura Pels Theater at the Harold and Miriam Steinberg Center for Theater
5414,7th Monarch,2012-06-24,2012-06-25,By David Rooney,"Math Prodigy, Too Smart by Half, Stuck in High-Strung Adolescence","Jim Henry’s play “7th Monarch” involves an academically brilliant, socially challenged young woman with parent issues.",https://www.nytimes.com/2012/06/26/theater/reviews/7th-monarch-by-jim-henry-at-the-acorn-theater.html,true,2012-06-24,2012-06-12,2012-08-12,"Starring Michael Rupert, Michael Cullen, Gretchen Hall, Leslie Hendrix and Matthew Humphreys","Written by Jim Henry, Directed by Scott C. Embler",7th Monarch,Theatre Row – Theatre Three
6272,90210! The Musical,2016-09-08,2018-12-12,By Ben Brantley,"‘Clueless, the Musical’ Review: The Film’s Charm Is Replaced by Sparkle",Amy Heckerling’s amiable but limp adaptation of her classic 1995 film suggests a peppy fan club putting on its own makeshift show.,https://www.nytimes.com/2018/12/11/theater/clueless-the-musical-review.html,true,2018-12-11,2018-11-20,2019-01-12,"Ephie Aardema, Sara Andreas, Gilbert L. Bailey II, Dave Thomas Brown, Dove Cameron, Will Connolly, Tiffany Engen, Katie Goffman, Danielle Marie Gonzalez, Tessa Grady, Talya Groves, Chris Hoch, L'ogan J'ones, Jeff Kuhr, Darius Jordan Lee, Justin Mortelliti, Brett Thiele and Zurin Villanueva",Book by Amy Heckerling; Choreography by Kelly Devine; Directed by Kristin Hanggi,Clueless,Pershing Square Signature Center
2659,A Bad Friend,2003-06-09,1998-11-17,By Anita Gates,THEATER REVIEW; 'The Good Earth' and the Bad Breaks,"Anita Gates reviews All Under Heaven, one-woman show in which Valerie Harper plays Pearl S Buck; it is written by Dyke Garrison with Harper; photo (M)",https://www.nytimes.com/1998/11/17/theater/theater-review-the-good-earth-and-the-bad-breaks.html,true,,,,,,,
5958,A Beautiful Day in November on the Banks of the Greatest of the Great Lakes,2015-01-15,2014-05-21,By Neil Genzlinger,This Dinner’s Highlights May Be on ‘SportsCenter’,Kate Benson’s “A Beautiful Day in November on the Banks of the Greatest of the Great Lakes” is a spectacularly inventive take on the drama of a family holiday dinner.,https://www.nytimes.com/2014/05/22/theater/kate-bensons-new-play-at-the-jam-on-toast-festival.html,true,2014-05-16,2014-05-16,2014-05-31,"Starring Dennis A. Allen II, Jessica Almasy, Christian Felix, Nina Hellman, Brooke Ishibashi, Mike Iveson, Mia Katigbak, Christine Lee, Kristine Haruna Lee, Heather Alicia Simms and Evan Thompson",Written by Kate Benson; Directed by Lee Sunday Evans,A Beautiful Day In November On The Banks Of The Greatest Of The Great Lakes,Dixon Place
6160,A Better Place,2016-05-15,1997-09-10,By Lawrence Van Gelder,Theater in Review,"Kamchik, the Singing Cowboy, featuring Avner Kam, is presented at Pulse Theater; Lawrence Van Gelder review; photo of Kam (S)",https://www.nytimes.com/1997/09/10/theater/theater-in-review-034657.html,true,,,,,,,
4681,A Body of Water,2008-10-14,2003-10-28,By Bruce Weber,"THEATER REVIEW; A Sandbox For Hamlet, Without The Politics","Bruce Weber reviews Theatre de la Jeune Lune production of Shakespeare's Hamlet, directed by Paddy Hayter; photo (M)",https://www.nytimes.com/2003/10/28/theater/theater-review-a-sandbox-for-hamlet-without-the-politics.html,true,,,,,,,
4947,A Boy and His Soul,2009-09-24,1995-11-28,By Vincent Canby,"THEATER REVIEW;Sacrifice Of Hands, Heart And Soul",,https://www.nytimes.com/1995/11/28/theater/theater-review-sacrifice-of-hands-heart-and-soul.html,true,,,,,,,
